Position,x,y,z,AP1_2.4G,AP1_5G,AP2_2.4G,AP2_5G,AP3_2.4G,AP3_5G,AP4_2.4G,AP4_5G,time
0,9,4,2,-46,-56,-34,-47,-40,-56,-36,-44,1655198934.099156
0,9,4,2,-50,-58,-34,-43,-40,-55,-36,-45,1655198938.3570406
0,9,4,2,-46,-55,-34,-46,-36,-51,-39,-43,1655198942.5805182
0,9,4,2,-48,-58,-39,-46,-36,-50,-41,-45,1655198946.7335534
0,10,4,2,-46,-54,-37,-50,-44,-50,-38,-42,1655198960.1676528
0,10,4,2,-42,-55,-38,-50,-46,-51,-35,-41,1655198964.3953655
0,10,4,2,-47,-52,-36,-48,-38,-50,-41,-39,1655198968.5447462
0,10,4,2,-47,-56,-39,-49,-43,-52,-35,-40,1655198972.8002973
0,11,4,2,-46,-59,-40,-51,-38,-53,-33,-44,1655198991.2332058
0,11,4,2,-46,-65,-44,-51,-41,-50,-38,-44,1655198995.517337
0,11,4,2,-47,-56,-42,-48,-38,-51,-35,-41,1655198999.739226
0,12,4,2,-47,-64,-40,-44,-40,-48,-27,-33,1655199018.3274217
0,12,4,2,-45,-58,-43,-45,-40,-48,-62,-32,1655199022.4695277
0,12,4,2,-46,-59,-39,-47,-38,-48,-69,-32,1655199026.6083431
0,12,4,2,-46,-61,-41,-41,-36,-51,-65,-34,1655199030.8339827
0,12,5,2,-48,-60,-39,-49,-37,-44,-29,-39,1655199077.4549541
0,12,5,2,-51,-56,-39,-49,-38,-44,-28,-38,1655199081.6099286
0,12,5,2,-51,-58,-39,-48,-59,-46,-29,-39,1655199085.8308835
0,12,5,2,-47,-59,-39,-54,-37,-46,-35,-41,1655199089.9833558
0,11,5,2,-44,-57,-39,-43,-38,-45,-34,-43,1655199102.1728892
0,11,5,2,-43,-55,-38,-46,-34,-46,-35,-41,1655199110.4449363
0,11,5,2,-43,-58,-40,-52,-44,-47,-32,-45,1655199114.555209
0,10,5,2,-43,-55,-38,-43,-40,-52,-32,-46,1655199145.2018483
0,10,5,2,-41,-60,-34,-45,-39,-51,-42,-44,1655199149.412967
0,10,5,2,-44,-55,-41,-40,-39,-54,-38,-47,1655199153.5672636
0,10,5,2,-44,-56,-38,-44,-38,-53,-36,-42,1655199157.7967525
0,9,5,2,-44,-62,-35,-51,-40,-55,-44,-50,1655199169.936363
0,9,5,2,-47,-57,-37,-45,-46,-52,-34,-52,1655199174.2113876
0,9,5,2,-42,-54,-39,-44,-34,-56,-34,-42,1655199178.4625034
0,9,5,2,-42,-55,-38,-46,-34,-50,-35,-42,1655199182.6839035
0,9,5,2,-48,-56,-38,-44,-39,-49,-34,-43,1655199186.8617783
0,8,5,2,-49,-55,-35,-46,-40,-57,-62,-46,1655199198.8570652
0,8,5,2,-44,-58,-36,-46,-44,-56,-39,-50,1655199203.0140991
0,8,5,2,-44,-55,-38,-48,-44,-59,-45,-47,1655199207.254036
0,8,5,2,-43,-56,-35,-45,-40,-56,-47,-51,1655199211.4830313
0,7,5,2,-38,-51,-31,-43,-60,-58,-33,-43,1655199225.1719177
0,7,5,2,-40,-57,-30,-42,-53,-57,-32,-46,1655199233.343145
0,7,5,2,-39,-52,-30,-46,-45,-58,-38,-50,1655199237.5803661
0,6,5,2,-41,-55,-32,-38,-47,-61,-39,-46,1655199252.2989018
0,6,5,2,-40,-56,-33,-38,-46,-63,-37,-47,1655199256.5757682
0,6,5,2,-40,-56,-33,-45,-46,-61,-38,-47,1655199260.8080285
0,6,5,2,-39,-54,-36,-39,-50,-62,-35,-46,1655199265.0414596
0,5,5,2,-40,-52,-35,-38,-41,-62,-39,-43,1655199278.2498496
0,5,5,2,-39,-49,-39,-37,-44,-68,-32,-47,1655199282.403904
0,5,5,2,-39,-49,-39,-37,-48,-65,-34,-46,1655199290.6864648
0,4,5,2,-39,-45,-32,-39,-48,-65,-37,-53,1655199304.5896513
0,4,5,2,-40,-51,-38,-39,-48,-68,-39,-48,1655199308.855242
0,4,5,2,-40,-49,-38,-40,-48,-64,-39,-49,1655199313.0550537
0,4,5,2,-40,-47,-34,-40,-46,-66,-39,-46,1655199317.2423525
0,3,5,2,-37,-47,-33,-27,-48,-69,-41,-48,1655199364.0466177
0,3,5,2,-39,-47,-31,-28,-57,-66,-41,-53,1655199368.2122276
0,3,5,2,-43,-45,-32,-27,-51,-67,-44,-49,1655199372.4727306
0,3,5,2,-35,-44,-30,-28,-52,-65,-42,-46,1655199376.611722
0,2,5,2,-38,-45,-35,-32,-46,-61,-41,-49,1655199389.6032884
0,2,5,2,-38,-45,-28,-39,-49,-70,-39,-47,1655199393.8251548
0,2,5,2,-66,-45,-32,-39,-50,-69,-41,-48,1655199398.0088894
0,2,5,2,-39,-42,-31,-33,-52,-68,-40,-54,1655199402.3045635
0,1,5,2,-34,-47,-37,-40,-62,-67,-41,-50,1655199415.6373796
0,1,5,2,-30,-47,-28,-42,-49,-67,-41,-47,1655199419.8384688
0,1,5,2,-32,-48,-29,-40,-49,-67,-41,-55,1655199424.0310984
0,1,5,2,-32,-52,-28,-39,-56,-69,-43,-55,1655199428.262158
0,0,5,2,-37,-44,-32,-38,-53,-71,-46,-50,1655199443.3963642
0,0,5,2,-36,-46,-40,-34,-51,-71,-42,-50,1655199447.5676095
0,0,5,2,-37,-45,-32,-34,-51,-71,-43,-50,1655199451.8011355
0,0,5,2,-36,-44,-31,-34,-51,-69,-42,-51,1655199455.9947069
0,0,6,2,-43,-46,-34,-30,-51,-79,-41,-53,1655199469.7969596
0,0,6,2,-46,-45,-27,-31,-51,-73,-41,-53,1655199474.1552873
0,0,6,2,-47,-45,-27,-31,-90,-73,-45,-51,1655199478.4009871
0,1,6,2,-37,-47,-26,-30,-90,-73,-45,-52,1655199507.5688443
0,1,6,2,-48,-47,-26,-31,-50,-71,-44,-54,1655199530.8256855
0,1,6,2,-39,-44,-25,-29,-50,-71,-43,-53,1655199535.0467398
0,1,6,2,-41,-44,-26,-30,-50,-69,-47,-56,1655199539.2361245
0,2,6,2,-36,-47,-26,-38,-52,-69,-36,-54,1655199555.107255
0,2,6,2,-38,-45,-25,-38,-47,-70,-39,-52,1655199559.3350976
0,2,6,2,-33,-45,-27,-37,-49,-68,-45,-51,1655199563.4813538
0,2,6,2,-40,-44,-25,-33,-55,-69,-31,-53,1655199567.7587492
0,3,6,2,-40,-44,-30,-38,-55,-68,-42,-56,1655199578.8742063
0,3,6,2,-40,-48,-32,-38,-55,-69,-40,-55,1655199583.0330114
0,3,6,2,-36,-47,-27,-38,-52,-69,-38,-50,1655199591.2770598
0,4,6,2,-46,-49,-33,-38,-55,-69,-37,-47,1655199603.059728
0,4,6,2,-41,-51,-32,-38,-55,-66,-36,-49,1655199607.244226
0,4,6,2,-42,-52,-33,-39,-55,-63,-40,-43,1655199611.393543
0,4,6,2,-40,-51,-29,-38,-51,-65,-40,-48,1655199615.6225998
0,5,6,2,-42,-56,-38,-38,-49,-61,-39,-44,1655199627.9288216
0,5,6,2,-44,-58,-31,-45,-48,-61,-34,-49,1655199632.1094193
0,5,6,2,-40,-51,-33,-43,-50,-62,-33,-44,1655199636.344653
0,5,6,2,-40,-52,-29,-45,-53,-67,-45,-46,1655199640.5035322
0,6,6,2,-46,-52,-38,-46,-51,-61,-31,-43,1655199649.8351147
0,6,6,2,-47,-57,-29,-50,-52,-63,-34,-45,1655199654.0395575
0,6,6,2,-48,-57,-30,-50,-53,-60,-34,-46,1655199658.2570329
0,6,6,2,-47,-59,-30,-50,-48,-61,-33,-43,1655199662.406654
0,6,6,2,-45,-56,-33,-48,-49,-59,-32,-44,1655199666.6307802
0,7,6,2,-47,-58,-33,-48,-52,-59,-32,-44,1655199679.4249487
0,7,6,2,-47,-62,-33,-56,-40,-62,-35,-45,1655199683.6635382
0,7,6,2,-53,-66,-37,-47,-41,-60,-37,-44,1655199687.8322477
0,7,6,2,-51,-61,-42,-46,-45,-61,-35,-45,1655199692.0093417
0,8,6,2,-42,-58,-39,-48,-41,-56,-38,-43,1655199704.065128
0,8,6,2,-38,-56,-39,-50,-42,-56,-37,-42,1655199712.295686
0,8,6,2,-43,-55,-38,-49,-41,-58,-41,-41,1655199716.455536
0,9,6,2,-43,-55,-39,-49,-41,-53,-31,-38,1655199728.362075
0,9,6,2,-59,-55,-39,-54,-43,-53,-32,-38,1655199732.5827372
0,9,6,2,-43,-55,-43,-50,-44,-57,-30,-40,1655199736.7561722
0,9,6,2,-42,-55,-38,-51,-36,-52,-30,-40,1655199740.9707394
0,10,6,2,-44,-55,-41,-52,-32,-53,-28,-41,1655199756.416646
0,10,6,2,-46,-55,-46,-56,-32,-54,-32,-41,1655199760.6365209
0,10,6,2,-49,-56,-44,-57,-32,-53,-64,-41,1655199764.7698984
0,10,6,2,-44,-54,-33,-49,-37,-45,-32,-38,1655199773.107511
0,11,6,2,-40,-54,-33,-53,-37,-50,-25,-41,1655199784.9229758
0,11,6,2,-40,-59,-49,-52,-38,-53,-26,-43,1655199789.0944088
0,11,6,2,-39,-59,-44,-49,-41,-53,-26,-41,1655199793.2638857
0,11,6,2,-39,-60,-50,-50,-39,-54,-28,-42,1655199797.4920127
